,_id,category,description,source,title
61795c55947ab96c21cb9acf,61795c55947ab96c21cb9acf,general,"FLEETCOR Technologies, Inc. (NYSE:FLT) Receives Average Rating of &#8220;Buy&#8221; from Brokerages",americanbankingnews,"FLEETCOR Technologies, Inc. (NYSE:FLT) Receives Average Rating of &#8220;Buy&#8221; from Brokerages"
61795c56947ab96c21cb9ad1,61795c56947ab96c21cb9ad1,general,"Piper Sandler Analysts Lower Earnings Estimates for Facebook, Inc. (NASDAQ:FB)",americanbankingnews,"Piper Sandler Analysts Lower Earnings Estimates for Facebook, Inc. (NASDAQ:FB)"
61795c56947ab96c21cb9ad3,61795c56947ab96c21cb9ad3,general,"Facebook, Inc. to Post FY2021 Earnings of $13.90 Per Share, Jefferies Financial Group Forecasts (NASDAQ:FB)",americanbankingnews,"Facebook, Inc. to Post FY2021 Earnings of $13.90 Per Share, Jefferies Financial Group Forecasts (NASDAQ:FB)"
61795c57947ab96c21cb9ad5,61795c57947ab96c21cb9ad5,general,She'll make a UK exclusive appearance at the event The post Erykah Badu announced as first headliner for Love Supreme Jazz Festival 2022 appeared first on NME.,nme,Erykah Badu announced as first headliner for Love Supreme Jazz Festival 2022
61795c57947ab96c21cb9ad7,61795c57947ab96c21cb9ad7,general,The iconic record came to define Amy's career.,Metro,Amy Winehouse’s Back To Black album’s 15th anniversary is marked with huge black heart in Camden
61795c58947ab96c21cb9ad9,61795c58947ab96c21cb9ad9,general,"If you need a ton of storage for all those 4K videos or the multiple computers in your house, B&H Photo and Video has the deal for you. Today only, the retailer is selling a 12TB WD Elements external hard drive for $190. That&#8217;s $120 off the asking price and much better than the $250 [&#8230;]",pcworld,"This huge 12TB external drive usually costs $310, but today it’s $190"
61795c58947ab96c21cb9adb,61795c58947ab96c21cb9adb,general,"In total, Tripadvisor said it penalised 34,605 properties for fraudulent activity and banned 20,299 members for failing to abide by its community standards in 2020.",dailymail,One MILLION reviews submitted to Tripadvisor in 2020 were found to be fake 
61795c59947ab96c21cb9add,61795c59947ab96c21cb9add,general,Great stuff from the Gunners.,Metro,Arsenal’s heartwarming gesture helps fan’s autistic son during first ever football match
61795c59947ab96c21cb9adf,61795c59947ab96c21cb9adf,general,Astronomers believe they may have found evidence of the first alien planet orbiting a star outside of the Milky Way. The discovery of the Saturn-sized planet was made using NASA&#8217;s super powerful Chandra X-Ray Observatory telescope. More space news here. Astronomers utilizing NASA&#8217;s Chandra X-Ray Observatory telescope believe they have discovered for the first time [&#8230;]The post Scientists Find Possible Evidence Of The First Alien Planet Beyond The Milky Way appeared first on BroBible.,guyism,Scientists Find Possible Evidence Of The First Alien Planet Beyond The Milky Way
61795c5a947ab96c21cb9ae1,61795c5a947ab96c21cb9ae1,general,Johnny Ronan and US joint venture partner in court row over €1bn Dublin developments,irishtimes,Developers fall out over future of three landmark projects
61795c5a947ab96c21cb9ae3,61795c5a947ab96c21cb9ae3,general,The shooting of Officer Tyler Timmins took place at a gas station in a suburb of St. Louis.,Chicago Tribune,Police officer fatally shot at gas station in Illinois town near St. Louis
61795c5b947ab96c21cb9ae5,61795c5b947ab96c21cb9ae5,sports,"T20 World Cup Points Table &#8211; Super 12 Points Table: Eoin Morgan&#8217;s England cricket team thrashed Bangladesh in their second game to claim second win of the ICC T20 World Cup 2021 here at the Sheikh Zayed Stadium, Abu Dhabi on Wednesday. England defeated West Indies and Bangladesh. In the group 2, Babar Azam led Pakistan [&#8230;]",Insidesport,T20 World Cup Points Table: England consolidates top spot in Group 1 after a win over Bangladesh
61795c5b947ab96c21cb9ae7,61795c5b947ab96c21cb9ae7,business,EV Adoption Spreads With 1 in 4 Globally ‘Very Likely’ to Buy EV as Next Car,Bloomberg | Latest And Live Business,EV Adoption Spreads With 1 in 4 Globally ‘Very Likely’ to Buy EV as Next Car
61795c5c947ab96c21cb9ae9,61795c5c947ab96c21cb9ae9,business,Three Reasons Inflation Isn’t Here to Stay,Bloomberg | Latest And Live Business,Three Reasons Inflation Isn’t Here to Stay
61795c5c947ab96c21cb9aeb,61795c5c947ab96c21cb9aeb,general,"LONDON &#8212; Finance minister Rishi Sunak promised higher public spending and new tax cuts as Britain&#8217;s economy rebounded more strongly from the COVID-19 pandemic than previously expected, and he vowed to protect households from rising inflation. Sunak used a half-yearly budget statement on Wednesday to announce multi-billion-pound investments to help Prime Minister Boris Johnson meet [&#8230;]",business,Sunak promises more spending as UK emerges from pandemic
61795c5d947ab96c21cb9aed,61795c5d947ab96c21cb9aed,general,"The investment from Japan's SoftBank includes a strategic partnership with SoftBank Investment Advisers (SBIA), which is headed by former head of the Mossad Yossi Cohen.",Jerusalem Post,SoftBank makes strategic investment in OurCrowd
61795c5d947ab96c21cb9aef,61795c5d947ab96c21cb9aef,general,"It was a case of we came, we saw, and we conquered as a title win, an overall race win, and karting championship dominance sees Wakefield's Inception Racing draw a close on this year’s International GT Open season with Lewis Goff, Optimum racing junior, securing his first championship title.",hemsworthandsouthelmsallexpress,Inception Racing reign in Spain
61795c5e947ab96c21cb9af1,61795c5e947ab96c21cb9af1,general,"It was a case of we came, we saw, and we conquered as a title win, an overall race win, and karting championship dominance sees Wakefield's Inception Racing draw a close on this year’s International GT Open season with Lewis Goff, Optimum racing junior, securing his first championship title.",pontefractandcastlefordexpress,Inception Racing reign in Spain
61795c5e947ab96c21cb9af3,61795c5e947ab96c21cb9af3,general,Intelligence Directorate Probe 'Closed' after Geagea Dodges Summons,naharnet,Intelligence Directorate Probe 'Closed' after Geagea Dodges Summons
61795c5f947ab96c21cb9af5,61795c5f947ab96c21cb9af5,general,"(marketscreener.com) NEW YORK, Oct. 27, 2021 /PRNewswire/ --&nbsp;InvestorsObserver issues critical PriceWatch Alerts for F, BA, EBAY, TWLO, and WTRH. To see how InvestorsObserver's proprietary scoring system rates these stocks, view the...https://www.marketscreener.com/quote/stock/TWILIO-INC-28734706/news/Thinking-about-buying-stock-in-Ford-Boeing-eBay-Twilio-or-Waitr-Holdings-36798949/?utm_medium=RSS&utm_content=20211027",4-traders,"Thinking about buying stock in Ford, Boeing, eBay, Twilio, or Waitr Holdings?"
61795c5f947ab96c21cb9af7,61795c5f947ab96c21cb9af7,general,"(marketscreener.com) NEW YORK, Oct. 27, 2021 /PRNewswire/ --&nbsp;InvestorsObserver&nbsp;issues critical PriceWatch Alerts for EW, GM, PINS, BSX, and GE. To see how InvestorsObserver's proprietary scoring system rates these stocks, view the...https://www.marketscreener.com/quote/stock/PINTEREST-INC-57086058/news/Thinking-about-buying-stock-in-Edwards-Lifesciences-General-Motors-Pinterest-Boston-Scientific-o-36798948/?utm_medium=RSS&utm_content=20211027",4-traders,"Thinking about buying stock in Edwards Lifesciences, General Motors, Pinterest, Boston Scientific, or General Electric?"
61795c60947ab96c21cb9af9,61795c60947ab96c21cb9af9,general,"(marketscreener.com) NEW YORK, Oct. 27, 2021 /PRNewswire/ --&nbsp;InvestorsObserver&nbsp;issues critical PriceWatch Alerts for TMO, BMY, SONY, GD, and NVDA. Click a link below then choose between in-depth options trade idea report or a stock score...https://www.marketscreener.com/quote/stock/THERMO-FISHER-SCIENTIFIC-14623/news/Thinking-about-trading-options-or-stock-in-Thermo-Fisher-Scientific-Bristol-Myers-Squibb-Sony-Gen-36798946/?utm_medium=RSS&utm_content=20211027",4-traders,"Thinking about trading options or stock in Thermo Fisher Scientific, Bristol-Myers Squibb, Sony, General Dynamics, or NVIDIA?"
61795c60947ab96c21cb9afb,61795c60947ab96c21cb9afb,general,"(marketscreener.com) NEW YORK, Oct. 27, 2021 /PRNewswire/ --&nbsp;InvestorsObserver&nbsp;issues critical PriceWatch Alerts for KO, FISV, SPOT, XLNX, and FCEL. To see how InvestorsObserver's proprietary scoring system rates these stocks, view the...https://www.marketscreener.com/quote/stock/SPOTIFY-TECHNOLOGY-S-A-42589613/news/Thinking-about-buying-stock-in-Coca-Cola-Fiserv-Spotify-Xilinx-or-FuelCell-Energy-36798947/?utm_medium=RSS&utm_content=20211027",4-traders,"Thinking about buying stock in Coca-Cola, Fiserv, Spotify, Xilinx, or FuelCell Energy?"
61795c61947ab96c21cb9afd,61795c61947ab96c21cb9afd,general,"(marketscreener.com) NEW YORK, Oct. 27, 2021 /PRNewswire/ --&nbsp;InvestorsObserver&nbsp;issues critical PriceWatch Alerts for AAPL, MCD, NOW, KHC, and ALGN. Click a link below then choose between in-depth options trade idea report or a stock score...https://www.marketscreener.com/quote/stock/SERVICENOW-INC-10912979/news/Thinking-about-trading-options-or-stock-in-Apple-McDonald-s-ServiceNow-Kraft-Heinz-or-Align-Tech-36798945/?utm_medium=RSS&utm_content=20211027",4-traders,"Thinking about trading options or stock in Apple, McDonald's, ServiceNow, Kraft Heinz, or Align Technology?"
